,grid_type,number_lights,height,width,diffuser_height,mean,std,min,1,5,10,90,95,99,max
0,ogrid,4,1,7.5,0.05,20.445974900520355,35.070325435056716,0.0,0.0,1.0,1.0,60.0,101.0,176.0,239.0
1,ogrid,4,1,7.5,0.33,20.520865217834913,34.818622812337026,0.0,0.0,1.0,1.0,62.0,99.0,173.0,233.0
2,ogrid,4,1,7.5,0.66,20.633506785021936,34.89968067314983,0.0,0.0,1.0,1.0,61.0,102.0,173.0,222.0
3,ogrid,4,1,7.5,0.95,20.74206713600653,34.873631602937664,0.0,0.0,1.0,2.0,62.0,101.0,173.0,217.0
4,ogrid,4,1,10.0,0.05,8.828792980308132,22.23152402801479,0.0,0.0,0.0,0.0,19.0,40.0,130.0,221.0
5,ogrid,4,1,10.0,0.33,8.893072135496379,22.49972267873853,0.0,0.0,0.0,0.0,18.0,40.0,132.0,233.0
6,ogrid,4,1,10.0,0.66,9.01010101010101,22.953918161023513,0.0,0.0,0.0,0.0,18.0,40.0,134.0,268.0
7,ogrid,4,1,10.0,0.95,9.124068972553822,23.429460332696905,0.0,0.0,0.0,0.0,19.0,41.0,137.0,264.0
8,ogrid,4,1,12.5,0.05,2.021018263442506,3.4929589449894163,0.0,0.0,0.0,0.0,4.0,7.0,18.0,49.0
9,ogrid,4,1,12.5,0.33,2.052749719416386,3.6428075395543233,0.0,0.0,0.0,0.0,5.0,8.0,19.0,49.0
10,ogrid,4,1,12.5,0.66,2.1057034996428934,3.7392636659413623,0.0,0.0,0.0,0.0,5.0,8.0,19.0,56.0
11,ogrid,4,1,12.5,0.95,2.1616161616161618,3.8115489391826127,0.0,0.0,0.0,0.0,5.0,8.0,19.0,55.0
12,ogrid,4,1,15.0,0.05,0.7539026629935721,1.129887865871647,0.0,0.0,0.0,0.0,2.0,3.0,5.0,12.0
13,ogrid,4,1,15.0,0.33,0.8059381695745332,1.2076894740711046,0.0,0.0,0.0,0.0,2.0,3.0,6.0,15.0
14,ogrid,4,1,15.0,0.66,0.8544026119783695,1.254854161309518,0.0,0.0,0.0,0.0,2.0,3.0,6.0,11.0
15,ogrid,4,1,15.0,0.95,0.864401591674319,1.2525574171226552,0.0,0.0,0.0,0.0,2.0,3.0,6.0,13.0
16,ogrid,4,2,7.5,0.05,14.967350270380573,12.893351053401064,0.0,1.0,2.0,3.0,36.0,43.0,54.0,80.0
17,ogrid,4,2,7.5,0.33,15.061116212631363,12.907242842805196,0.0,1.0,2.0,4.0,36.0,42.0,54.0,73.0
18,ogrid,4,2,7.5,0.66,15.197836955412713,12.997905830491076,0.0,1.0,3.0,4.0,36.0,44.0,53.0,67.0
19,ogrid,4,2,7.5,0.95,15.313029282726253,13.10724922564209,0.0,1.0,3.0,4.0,37.0,44.0,55.0,77.0
20,ogrid,4,2,10.0,0.05,8.070911131517192,9.62170770357884,0.0,0.0,1.0,1.0,20.0,30.0,47.0,71.0
21,ogrid,4,2,10.0,0.33,8.120497908376697,9.73768122639008,0.0,0.0,1.0,1.0,20.0,30.0,49.0,77.0
22,ogrid,4,2,10.0,0.66,8.301397816549331,9.905778289001697,0.0,0.0,1.0,1.0,20.0,30.0,50.0,79.0
23,ogrid,4,2,10.0,0.95,8.398836853382308,10.073315299764493,0.0,0.0,1.0,2.0,20.0,31.0,50.0,75.0
24,ogrid,4,2,12.5,0.05,3.3882256912559945,3.9383293205929584,0.0,0.0,0.0,0.0,8.0,11.0,21.0,40.0
25,ogrid,4,2,12.5,0.33,3.3885317824711763,3.9694074350467634,0.0,0.0,0.0,0.0,8.0,11.0,20.0,41.0
26,ogrid,4,2,12.5,0.66,3.5066829915314766,4.1077445360386315,0.0,0.0,0.0,0.0,8.0,11.0,22.0,38.0
27,ogrid,4,2,12.5,0.95,3.60085705540251,4.262608942479229,0.0,0.0,0.0,0.0,8.0,12.0,22.0,41.0
