,grid_type,number_lights,height,width,mean,std,min,1,5,10,90,95,99,max
0,circle,4,1,7.5,31.23885317824712,46.64118400484611,0.0,0.0,1.0,2.0,93.0,139.0,219.0,272.0
1,circle,4,1,10.0,24.72931333537394,39.70832447198042,0.0,0.0,1.0,2.0,70.0,120.0,192.0,261.0
2,circle,4,1,12.5,17.64575043362922,31.46833813566365,0.0,0.0,1.0,1.0,44.0,83.0,170.0,228.0
3,circle,4,1,15.0,13.653300683603714,26.91480419018024,0.0,0.0,0.0,1.0,32.0,63.0,150.0,243.0
4,circle,4,2,7.5,25.263136414651566,21.68687191238541,0.0,2.0,3.0,5.0,58.0,70.0,90.0,111.0
5,circle,4,2,10.0,20.96122844607693,18.476200623272966,0.0,1.0,3.0,4.0,49.0,60.0,79.0,111.0
6,circle,4,2,12.5,16.168962350780532,14.799018125902043,0.0,1.0,2.0,3.0,38.0,48.0,66.0,88.0
7,circle,4,2,15.0,12.91786552392613,12.193366394766157,0.0,1.0,2.0,3.0,30.0,40.0,55.0,82.0
8,circle,4,3,7.5,20.533925109682684,12.673088805398084,0.0,3.0,5.0,6.0,39.0,44.0,54.0,74.0
9,circle,4,3,10.0,17.653504744413834,10.935374725024253,0.0,2.0,4.0,6.0,34.0,39.0,48.0,61.0
10,circle,4,3,12.5,14.366085093357821,9.127270081765886,0.0,2.0,3.0,5.0,28.0,32.0,41.0,58.0
11,circle,4,3,15.0,11.776757473727171,7.603984755379,0.0,1.0,3.0,4.0,23.0,27.0,34.0,53.0
12,circle,4,5,7.5,13.813284358738905,5.908428784249699,0.0,3.0,5.0,7.0,22.0,24.0,29.0,40.0
13,circle,4,5,10.0,12.342209978573615,5.350506363730253,0.0,3.0,5.0,6.0,20.0,22.0,26.0,35.0
14,circle,4,5,12.5,10.70462197734925,4.77137633196729,0.0,2.0,4.0,5.0,17.0,19.0,23.0,31.0
15,circle,4,5,15.0,9.188960310172432,4.275222490668282,0.0,2.0,3.0,4.0,15.0,17.0,21.0,30.0
16,circle,4,10,7.5,5.902458932761963,2.564995356214578,0.0,1.0,2.0,3.0,9.0,10.0,13.0,17.0
17,circle,4,10,10.0,5.610651974288338,2.4947705316316844,0.0,1.0,2.0,3.0,9.0,10.0,12.0,18.0
18,circle,4,10,12.5,5.194163860830527,2.4013971159818626,0.0,1.0,2.0,2.0,8.0,9.0,12.0,17.0
19,circle,4,10,15.0,4.770023466993164,2.2537169673274797,0.0,1.0,1.0,2.0,8.0,9.0,11.0,16.0
20,circle,4,15,7.5,3.0718294051627386,1.7466697538264915,0.0,0.0,1.0,1.0,5.0,6.0,8.0,11.0
21,circle,4,15,10.0,2.958779716355474,1.7242086061019843,0.0,0.0,1.0,1.0,5.0,6.0,8.0,13.0
22,circle,4,15,12.5,2.8618508315478013,1.7041977505722081,0.0,0.0,0.0,1.0,5.0,6.0,7.0,13.0
23,circle,4,15,15.0,2.71033568003265,1.65984655994223,0.0,0.0,0.0,1.0,5.0,6.0,7.0,11.0
24,circle,16,1,7.5,126.23640444852566,82.66440257946768,3.0,10.0,17.0,25.0,244.0,273.0,315.0,371.0
25,circle,16,1,10.0,108.97622691562086,54.33338822397785,11.0,29.0,41.0,49.0,193.0,216.0,248.0,299.0
26,circle,16,1,12.5,84.10662177328844,50.38918181454307,15.0,24.0,30.0,34.0,163.0,189.0,224.0,259.0
27,circle,16,1,15.0,59.74308744005714,45.76387573881719,6.0,13.0,17.0,20.0,127.0,163.0,209.0,257.0
28,circle,16,2,7.5,102.11692684419957,47.70975147558741,10.0,20.0,30.0,39.0,167.0,179.0,198.0,230.0
29,circle,16,2,10.0,87.50902969084787,23.48648729129998,21.0,35.0,47.0,56.0,118.0,127.0,141.0,172.0
30,circle,16,2,12.5,69.00265279053158,15.9019285818394,25.0,39.0,46.0,50.0,91.0,98.0,109.0,133.0
31,circle,16,2,15.0,52.4635241301908,15.624774533221693,19.0,25.0,30.0,33.0,74.0,80.0,90.0,111.0
32,circle,16,3,7.5,82.2796653402714,32.31306727364631,12.0,24.0,33.0,41.0,127.0,136.0,150.0,177.0
33,circle,16,3,10.0,71.18487909397,17.80241921461924,20.0,32.0,41.0,47.0,94.0,100.0,110.0,130.0
34,circle,16,3,12.5,58.04652586470768,10.980605399980268,25.0,35.0,41.0,44.0,73.0,77.0,85.0,102.0
35,circle,16,3,15.0,46.08182838485869,9.2300484213993,18.0,27.0,32.0,35.0,58.0,62.0,69.0,95.0
36,circle,16,5,7.5,55.05295378022651,16.10572253063041,14.0,24.0,30.0,34.0,77.0,83.0,91.0,108.0
37,circle,16,5,10.0,48.7384960718294,11.428563184709668,16.0,24.0,30.0,34.0,64.0,68.0,76.0,93.0
38,circle,16,5,12.5,41.68431792674217,8.161074087317292,11.0,24.0,29.0,31.0,52.0,55.0,61.0,74.0
39,circle,16,5,15.0,35.136006529945924,6.854990081763624,12.0,20.0,24.0,26.0,44.0,47.0,52.0,66.0
40,circle,16,10,7.5,23.60208142026324,5.638717490634958,6.0,12.0,15.0,17.0,31.0,33.0,37.0,47.0
41,circle,16,10,10.0,22.070094888276707,5.158332237405555,4.0,11.0,14.0,16.0,29.0,31.0,35.0,44.0
42,circle,16,10,12.5,20.35414753596572,4.8752811068800135,3.0,10.0,13.0,14.0,27.0,29.0,32.0,41.0
43,circle,16,10,15.0,18.454341393735334,4.4885531356411486,4.0,9.0,12.0,13.0,24.0,26.0,30.0,38.0
44,circle,16,15,7.5,12.353535353535353,3.6142424792911076,2.0,5.0,7.0,8.0,17.0,19.0,22.0,28.0
45,circle,16,15,10.0,11.861850831547802,3.478429838006871,0.0,5.0,6.0,7.0,16.0,18.0,21.0,27.0
46,circle,16,15,12.5,11.272523211917152,3.34633354877668,1.0,4.0,6.0,7.0,16.0,17.0,20.0,26.0
47,circle,16,15,15.0,10.806244260789715,3.342641699371696,1.0,4.0,6.0,7.0,15.0,17.0,19.0,24.0
48,circle,36,1,7.5,283.85501479440876,160.07494768463755,10.0,23.0,39.0,56.0,469.0,486.0,516.0,571.0
49,circle,36,1,10.0,244.0127538006326,59.75782623834696,24.0,52.0,100.0,164.0,306.0,321.0,346.0,386.0
50,circle,36,1,12.5,178.02611978369555,38.190850988263826,88.0,116.0,128.0,135.0,235.0,254.0,279.0,329.0
51,circle,36,1,15.0,129.4342414039384,42.40856837507955,48.0,70.0,79.0,86.0,197.0,219.0,247.0,280.0
52,circle,36,2,7.5,229.1890623405775,102.76796203964419,26.0,46.0,68.0,89.0,365.0,382.0,405.0,442.0
53,circle,36,2,10.0,195.30149984695439,43.34176422888226,47.0,74.0,106.0,133.0,242.0,251.0,265.0,302.0
54,circle,36,2,12.5,152.06376900316295,17.443473926121097,80.0,104.0,122.0,130.0,173.0,179.0,189.0,208.0
55,circle,36,2,15.0,114.82971125395368,12.257394870676936,72.0,87.0,95.0,99.0,131.0,135.0,145.0,166.0
56,circle,36,3,7.5,184.98132843587388,69.0911494938695,32.0,58.0,77.0,94.0,281.0,295.0,316.0,364.0
57,circle,36,3,10.0,158.986531986532,34.93156284026297,45.0,75.0,95.0,109.0,202.0,210.0,223.0,247.0
58,circle,36,3,12.5,128.8668503213958,17.285509003645004,55.0,84.0,98.0,106.0,150.0,156.0,166.0,184.0
59,circle,36,3,15.0,101.50851953882257,11.42119893824959,62.0,75.0,83.0,87.0,116.0,121.0,129.0,148.0
60,circle,36,5,7.5,123.37383940414243,33.66564723478047,38.0,59.0,71.0,80.0,170.0,180.0,195.0,224.0
61,circle,36,5,10.0,109.01805938169575,22.117157055315975,41.0,61.0,72.0,80.0,138.0,144.0,156.0,181.0
62,circle,36,5,12.5,93.23895520865217,14.352900443386883,44.0,60.0,69.0,75.0,112.0,117.0,125.0,148.0
63,circle,36,5,15.0,77.86787062544639,10.46381715669874,43.0,54.0,61.0,64.0,91.0,95.0,103.0,116.0
64,circle,36,10,7.5,52.95673910825426,9.53759848477808,22.0,32.0,38.0,41.0,65.0,69.0,76.0,91.0
65,circle,36,10,10.0,49.45689215386185,8.771016196738977,21.0,31.0,36.0,38.0,61.0,64.0,70.0,85.0
66,circle,36,10,12.5,45.46076930925416,7.613623654775451,21.0,29.0,33.0,36.0,55.0,58.0,65.0,74.0
67,circle,36,10,15.0,41.22762983369044,6.9440103286977015,19.0,26.0,30.0,32.0,50.0,53.0,58.0,68.0
68,circle,36,15,7.5,27.6917661463116,5.572113301159243,10.0,16.0,19.0,21.0,35.0,37.0,42.0,51.0
69,circle,36,15,10.0,26.747372717069688,5.369506335849882,9.0,15.0,18.0,20.0,34.0,36.0,41.0,52.0
70,circle,36,15,12.5,25.384960718294053,5.192808782903337,6.0,14.0,17.0,19.0,32.0,34.0,38.0,45.0
71,circle,36,15,15.0,23.997857361493725,5.071320287728593,7.0,13.0,16.0,18.0,31.0,33.0,37.0,46.0
72,circle,49,1,7.5,386.7559432710948,221.39923736433713,17.0,32.0,52.0,76.0,650.0,673.0,711.0,768.0
73,circle,49,1,10.0,333.7341087644118,79.08529534074427,37.0,71.0,137.0,223.0,410.0,425.0,450.0,515.0
74,circle,49,1,12.5,245.60514233241506,38.24417160365052,146.0,177.0,191.0,199.0,299.0,316.0,339.0,380.0
75,circle,49,1,15.0,180.74461789613304,41.31012038445726,98.0,115.0,126.0,133.0,243.0,260.0,285.0,310.0
76,circle,49,2,7.5,312.81001938577697,142.20160414142836,39.0,63.0,92.0,120.0,505.0,528.0,559.0,611.0
77,circle,49,2,10.0,267.4076114682175,61.700176694402124,50.0,100.0,143.0,177.0,337.0,349.0,367.0,396.0
78,circle,49,2,12.5,209.389960208142,24.298620833269283,110.0,143.0,166.0,178.0,239.0,246.0,259.0,296.0
79,circle,49,2,15.0,159.78022650749924,14.901604317430293,106.0,125.0,135.0,141.0,179.0,184.0,194.0,214.0
80,circle,49,3,7.5,252.37618610345882,95.1678158429239,55.0,79.0,106.0,128.0,386.0,407.0,431.0,482.0
81,circle,49,3,10.0,217.68860320375472,49.145554672054125,72.0,100.0,129.0,150.0,278.0,289.0,307.0,332.0
82,circle,49,3,12.5,177.447097234976,23.86306892578815,93.0,116.0,136.0,146.0,207.0,214.0,227.0,250.0
83,circle,49,3,15.0,140.67268646056525,14.531601070319851,93.0,107.0,117.0,122.0,159.0,165.0,174.0,193.0
84,circle,49,5,7.5,168.48025711662075,45.64638354074893,56.0,79.0,97.0,110.0,232.0,244.0,262.0,294.0
85,circle,49,5,10.0,149.1763085399449,29.793602381507306,63.0,83.0,99.0,110.0,188.0,195.0,210.0,239.0
86,circle,49,5,12.5,127.76849301091725,18.964354489788008,65.0,83.0,96.0,103.0,152.0,158.0,169.0,199.0
87,circle,49,5,15.0,107.2778287929803,13.142545592938012,63.0,76.0,86.0,90.0,124.0,129.0,138.0,159.0
88,circle,49,10,7.5,72.28690949903071,12.159867699108531,32.0,46.0,53.0,57.0,88.0,93.0,101.0,122.0
89,circle,49,10,10.0,67.48801142740537,10.676289092905758,31.0,44.0,50.0,54.0,82.0,86.0,93.0,111.0
90,circle,49,10,12.5,62.19355167840016,9.448078123790529,31.0,41.0,47.0,50.0,74.0,78.0,85.0,100.0
91,circle,49,10,15.0,56.55300479542904,8.420176295114585,28.0,38.0,43.0,46.0,68.0,71.0,77.0,90.0
92,circle,49,15,7.5,37.84899500051015,6.593697019405074,18.0,24.0,27.0,29.0,46.0,49.0,54.0,63.0
93,circle,49,15,10.0,36.27589021528416,6.445600042506165,13.0,22.0,26.0,28.0,45.0,47.0,52.0,67.0
94,circle,49,15,12.5,34.63228242016121,6.179678327091959,15.0,21.0,25.0,27.0,43.0,45.0,50.0,61.0
95,circle,49,15,15.0,32.64921946740129,5.926065720688418,12.0,20.0,23.0,25.0,40.0,43.0,47.0,56.0
96,circle,81,1,7.5,639.02520151005,361.61039197124364,32.0,55.0,87.0,127.0,1060.0,1083.0,1121.0,1175.0
97,circle,81,1,10.0,550.3510866238139,125.58674897578588,69.0,116.0,229.0,373.0,667.0,686.0,711.0,757.0
98,circle,81,1,12.5,403.3571064177125,55.54755142298052,215.0,303.0,323.0,334.0,481.0,495.0,516.0,556.0
99,circle,81,1,15.0,294.5513723089481,58.95680923326931,176.0,198.0,212.0,221.0,376.0,389.0,407.0,446.0
100,circle,81,2,7.5,516.1120293847566,231.39570027173818,71.0,105.0,151.0,199.0,826.0,853.0,889.0,948.0
101,circle,81,2,10.0,441.17232935414756,96.45789596969554,113.0,165.0,238.0,298.0,543.0,555.0,577.0,621.0
102,circle,81,2,12.5,344.1565146413631,33.451156788285466,178.0,240.0,284.0,300.0,382.0,391.0,407.0,447.0
103,circle,81,2,15.0,260.55351494745435,18.84431672332832,182.0,215.0,229.0,237.0,285.0,291.0,304.0,332.0
104,circle,81,3,7.5,416.52749719416386,154.61414491146672,96.0,130.0,175.0,213.0,633.0,661.0,695.0,754.0
105,circle,81,3,10.0,358.66727884909704,76.5999949626328,125.0,168.0,215.0,250.0,449.0,463.0,485.0,519.0
106,circle,81,3,12.5,291.15518824609734,34.45291663731301,159.0,196.0,226.0,245.0,332.0,340.0,355.0,394.0
107,circle,81,3,15.0,229.6754412815019,18.595146391220837,154.0,184.0,198.0,206.0,253.0,259.0,271.0,300.0
108,circle,81,5,7.5,278.0599938781757,73.9336137302949,109.0,133.0,162.0,183.0,382.0,400.0,426.0,454.0
