,min,1,5,10,mean,std,90,95,99,max,height,reflect
0,174.0,195.0,209.0,216.0,261.0,39.6,320.0,339.0,363.0,412.0,1.0,4.0
1,190.0,210.0,224.0,232.0,278.0,40.5,339.0,355.0,382.0,433.0,1.0,7.0
0,192.0,220.0,231.0,237.0,260.0,18.8,285.0,292.0,307.0,335.0,2.0,4.0
0,215.0,244.0,257.0,264.0,291.0,22.2,320.0,330.0,348.0,378.0,2.0,7.0
0,187.0,217.0,228.0,234.0,256.0,17.8,279.0,286.0,300.0,338.0,3.0,4.0
0,224.0,252.0,264.0,271.0,297.0,20.9,324.0,333.0,349.0,377.0,3.0,7.0
0,182.0,208.0,218.0,224.0,244.0,15.9,264.0,270.0,281.0,302.0,5.0,4.0
0,235.0,258.0,271.0,277.0,300.0,18.3,323.0,331.0,345.0,376.0,5.0,7.0
0,164.0,180.0,189.0,195.0,213.0,14.6,232.0,238.0,248.0,269.0,10.0,4.0
0,232.0,256.0,266.0,273.0,294.0,17.1,316.0,323.0,336.0,359.0,10.0,7.0
0,125.0,157.0,166.0,171.0,189.0,13.9,207.0,212.0,221.0,245.0,15.0,4.0
0,224.0,246.0,257.0,263.0,285.0,17.0,307.0,313.0,325.0,353.0,15.0,7.0
