,light_height,light_width,mirror_offset,metric
0,1.0,5.0,0.1,-32.45073700470083
1,1.0,5.0,5.05,-32.70113184191672
2,1.0,5.0,10.0,-32.66674023956017
3,1.0,10.0,0.1,-46.1359155848635
4,1.0,10.0,5.05,-46.16912186242109
5,1.0,10.0,10.0,-45.53818419052925
6,1.0,15.0,0.1,-0.8794205811418863
7,1.0,15.0,5.05,-1.0304545804779863
8,1.0,15.0,10.0,-0.7431788596761422
9,8.0,5.0,0.1,-86.16500074819764
10,8.0,5.0,5.05,-86.20985655441648
11,8.0,5.0,10.0,-86.3340526551785
12,8.0,10.0,0.1,-84.96925652150098
13,8.0,10.0,5.05,-84.85205588164904
14,8.0,10.0,10.0,-84.95766227081548
15,8.0,15.0,0.1,-42.511331696921545
16,8.0,15.0,5.05,-42.48196033710865
17,8.0,15.0,10.0,-42.57252356215161
18,15.0,5.0,0.1,-69.29857325450506
19,15.0,5.0,5.05,-69.11444560040533
20,15.0,5.0,10.0,-69.35840229556023
21,15.0,10.0,0.1,-68.65714436251609
22,15.0,10.0,5.05,-68.61654633175732
23,15.0,10.0,10.0,-68.5222131455518
24,15.0,15.0,0.1,-35.62474987209613
25,15.0,15.0,5.05,-35.66417182991329
26,15.0,15.0,10.0,-35.626257891428104
