,iteration,light_height,light_width,inter_0,inter_1,inter_2,inter_3,metric
0,1,8.0,10.0,23.52464034282216,5.38646532607707,17.0,31.0,0.2289712083832384
1,2,7.125,9.375,27.685542291602896,6.230881104065355,20.0,36.0,0.22505902316947565
2,3,1.875,5.3125,95.2196714620957,56.21410421265823,29.0,179.0,0.590362299611961
3,4,11.8289794921875,7.50030517578125,15.371594735231099,4.136615253311828,10.0,21.0,0.26910774871203613
4,5,6.25,9.375,31.780430568309356,6.881238432236587,23.0,41.0,0.2165243928160742
5,6,1.4375,14.0625,37.71043771043771,20.781713759828655,20.0,70.0,0.5510865166668849
6,7,14.999993324279785,14.999995231628418,8.549331700846853,2.9324677696337735,5.0,12.0,0.34300549706631434
7,8,14.999999582767487,11.875000298023224,9.433935312723191,3.0955842558409774,6.0,14.0,0.32813286854596935
8,9,9.943115234375,14.9993896484375,13.984287317620652,3.782765306038247,9.0,19.0,0.2705011145810656
9,10,13.6875,9.6875,11.593612896643199,3.4879997487754197,7.0,16.0,0.30085528815485385
10,11,6.8857421875,14.99755859375,19.564126109580656,4.459935660216289,14.0,25.0,0.22796498219423333
11,12,8.640869140625,10.189208984375,21.276298336904397,4.989896782640321,15.0,28.0,0.23452842706126145
12,13,1.013671875,9.7119140625,78.46434037343128,42.54492189724864,42.0,146.0,0.5422198376328252
13,14,7.125,11.875,23.556575859606163,5.257446011710365,17.0,31.0,0.2231837956010243
14,15,8.4375,9.6875,22.471788593000714,5.2383691284601115,16.0,29.0,0.23310868677768293
15,16,8.013671875,5.0048828125,29.146719722477297,7.3853859633659384,20.0,39.0,0.25338652286385743
16,17,7.125,14.6875,19.401081522293644,4.472892751675291,14.0,25.0,0.2305486292882962
17,18,8.0008544921875,5.0006103515625,29.20752984389348,7.478717784608419,20.0,39.0,0.2560544429665976
18,19,14.999999165534973,5.000000298023224,11.017651260075503,3.3789040811653774,7.0,15.0,0.30668097958495577
19,20,5.78515625,14.990234375,21.981634527089074,4.814217014446387,16.0,28.0,0.21901087512457662
20,21,6.25,14.375,21.96847260483624,4.878288637849283,16.0,28.0,0.22205861670944543
21,22,3.8369140625,11.74072265625,37.78971533516988,6.7596032297366,29.0,46.0,0.17887415054025604
22,23,9.75,5.625,21.67972655851444,5.4370056719847035,15.0,29.0,0.2507875575510609
23,24,6.25,5.625,38.8270584634221,10.630524283195474,25.0,53.0,0.2737916469569848
24,25,5.375,14.375,24.283338434853587,5.069018282565765,18.0,31.0,0.20874470354085514
25,26,4.5,11.25,36.04295480053056,6.860191686789044,27.0,45.0,0.19033377603902943
26,27,4.9998779296875,11.25030517578125,33.48250178553209,6.537369125869404,25.0,42.0,0.19524733150896822
