,light_height,light_width,inter_0,inter_1,inter_2,inter_3,metric
0,15.0,13.717948717948717,8.89909192939496,3.009375580645651,5.0,13.0,0.33816659098725094
1,15.0,11.923076923076923,9.411896745230079,3.069845919246122,6.0,13.0,0.32616655307039044
2,15.0,14.487179487179485,8.6598306295276,2.9565412463032272,5.0,13.0,0.3414086686894601
3,15.0,14.23076923076923,8.736659524538313,2.9569802319109937,5.0,13.0,0.3384566176129262
4,15.0,12.948717948717949,9.106111621263137,3.083433951549248,5.0,13.0,0.33861148202371094
5,15.0,12.692307692307692,9.276196306499337,3.0934058806904345,5.0,13.0,0.3334778370874978
6,15.0,13.205128205128204,8.985511682481379,3.0198463129423807,5.0,13.0,0.3360795043903877
7,15.0,11.410256410256409,9.558616467707377,3.1066571627054924,6.0,14.0,0.3250111742845793
8,15.0,13.46153846153846,8.993368023671055,3.0103479141084346,5.0,13.0,0.33472975932765436
9,15.0,14.743589743589743,8.620446893174165,2.9835118517195256,5.0,13.0,0.34609712102999296
10,15.0,11.666666666666666,9.447913478216508,3.0692390801021676,6.0,13.0,0.3248589317819992
11,15.0,13.974358974358974,8.851749821446791,2.982340851145147,5.0,13.0,0.33692105078696094
12,15.0,15.0,8.517906336088155,2.9563209279507423,5.0,12.0,0.3470713120459636
13,15.0,12.179487179487179,9.337006427915519,3.107991807758455,5.0,13.0,0.33286812339191163
14,15.0,12.435897435897434,9.214467911437609,3.0648400298792002,5.0,13.0,0.3326117209735917
15,15.0,11.153846153846153,9.599326599326599,3.122953251666805,6.0,14.0,0.3253304509803722
16,15.0,10.897435897435898,9.69452096724824,3.159007472126692,6.0,14.0,0.32585493216209593
17,15.0,10.384615384615383,9.802877257422711,3.150400587380487,6.0,14.0,0.32137509270505377
18,15.0,9.615384615384615,10.023364962758903,3.2179232495744587,6.0,14.0,0.3210422110269778
19,15.0,10.128205128205128,9.934292419140904,3.195651894896637,6.0,14.0,0.32167886348296054
20,15.0,10.64102564102564,9.711968166513621,3.1615659165024788,6.0,14.0,0.3255329776927605
21,15.0,9.358974358974358,10.09499030711152,3.252157643196016,6.0,14.0,0.3221555983966622
22,15.0,9.871794871794872,9.965615753494541,3.2331030074090528,6.0,14.0,0.3244258144586132
23,15.0,9.102564102564102,10.131721252933374,3.2324960159384815,6.0,14.0,0.3190470735663594
24,15.0,8.58974358974359,10.233139475563718,3.276999896776129,6.0,14.0,0.32023406937836224
25,15.0,8.846153846153847,10.209468421589634,3.2537321515510436,6.0,14.0,0.31869750874300967
