,grid_type,light_height,light_width,box_offset,mean,std
0,circle,0.5,5.0,0.1,44.28650137741047,33.02042708518165
1,circle,0.5,5.0,1.3250000000000002,44.352413019079684,32.90362639283147
2,circle,0.5,5.0,2.5500000000000003,44.303030303030305,33.02544161953632
3,circle,0.5,5.0,3.7750000000000004,44.329558208346086,32.97451664070073
4,circle,0.5,5.0,5.0,44.28129782675237,32.923811026409226
5,circle,0.5,8.75,0.1,42.19773492500765,51.19743326088246
6,circle,0.5,8.75,1.3250000000000002,42.16518722579329,51.19112319838339
7,circle,0.5,8.75,2.5500000000000003,42.16753392510968,51.28938201386832
8,circle,0.5,8.75,3.7750000000000004,42.20355065809611,51.123322632419544
9,circle,0.5,8.75,5.0,42.187021732476275,51.28026572504632
10,circle,0.5,12.5,0.1,30.143046627895114,56.72714841166541
11,circle,0.5,12.5,1.3250000000000002,30.100295888174678,56.62989668493721
12,circle,0.5,12.5,2.5500000000000003,30.11519232731354,56.88761450973509
13,circle,0.5,12.5,3.7750000000000004,30.121722273237424,56.78796876520148
14,circle,0.5,12.5,5.0,30.15600448933782,56.712896420457156
15,circle,0.5,16.25,0.1,16.264156718702175,68.44602058693951
16,circle,0.5,16.25,1.3250000000000002,16.32262014080196,68.3516350228734
17,circle,0.5,16.25,2.5500000000000003,16.31833486378941,68.35860755162096
18,circle,0.5,16.25,3.7750000000000004,16.303030303030305,68.32450785911756
19,circle,0.5,16.25,5.0,16.296602387511477,68.43014528626699
20,circle,0.5,20.0,0.1,10.039995918783797,75.39728522523741
21,circle,0.5,20.0,1.3250000000000002,10.034486276910519,75.36050284020465
22,circle,0.5,20.0,2.5500000000000003,9.953780226507499,75.51537640858481
23,circle,0.5,20.0,3.7750000000000004,10.010815222936435,75.46161124772998
24,circle,0.5,20.0,5.0,10.002448729721458,75.45140739760546
25,circle,2.875,5.0,0.1,28.793694520967247,82.18004644072411
26,circle,2.875,5.0,1.3250000000000002,28.842056932966024,82.1491701101725
27,circle,2.875,5.0,2.5500000000000003,28.850627486991122,82.23735917997467
28,circle,2.875,5.0,3.7750000000000004,28.800224466891134,82.21825446163965
29,circle,2.875,5.0,5.0,28.85001530456076,82.24017917198918
30,circle,2.875,8.75,0.1,24.796245281093768,91.08824050007027
31,circle,2.875,8.75,1.3250000000000002,24.75349454137333,91.15846842308154
32,circle,2.875,8.75,2.5500000000000003,24.71217222732374,91.19328016576672
33,circle,2.875,8.75,3.7750000000000004,24.721048872564023,91.17322350866432
34,circle,2.875,8.75,5.0,24.794510764207732,91.15077637487998
35,circle,2.875,12.5,0.1,18.513927150290787,94.94662355418573
36,circle,2.875,12.5,1.3250000000000002,18.460871339659217,94.94928036659127
37,circle,2.875,12.5,2.5500000000000003,18.546270788695033,95.02233058996798
38,circle,2.875,12.5,3.7750000000000004,18.476073870013263,94.93244655873615
39,circle,2.875,12.5,5.0,18.54606672788491,95.0238047446158
40,circle,2.875,16.25,0.1,13.006734006734007,95.79633438931836
41,circle,2.875,16.25,1.3250000000000002,13.042750739720436,95.8383950250217
42,circle,2.875,16.25,2.5500000000000003,13.036935006631976,95.83663578039352
43,circle,2.875,16.25,3.7750000000000004,13.062544638302214,95.8162711126327
44,circle,2.875,16.25,5.0,13.02152841546781,95.78251126209018
45,circle,2.875,20.0,0.1,9.45107642077339,96.20961980042678
46,circle,2.875,20.0,1.3250000000000002,9.424344454647485,96.23349936556582
47,circle,2.875,20.0,2.5500000000000003,9.41373329252117,96.25892469002109
48,circle,2.875,20.0,3.7750000000000004,9.441893684317927,96.32146842103913
49,circle,2.875,20.0,5.0,9.386083052749719,96.22002087406959
50,circle,5.25,5.0,0.1,17.81399857157433,92.8839554576163
51,circle,5.25,5.0,1.3250000000000002,17.769207223752677,92.87134891918322
52,circle,5.25,5.0,2.5500000000000003,17.808590960106113,92.75416787952085
53,circle,5.25,5.0,3.7750000000000004,17.807978777675746,92.8601889412352
54,circle,5.25,5.0,5.0,17.848484848484848,92.86582596659828
55,circle,5.25,8.75,0.1,15.533619018467503,94.87697347968749
56,circle,5.25,8.75,1.3250000000000002,15.514641363126211,94.89058449329472
57,circle,5.25,8.75,2.5500000000000003,15.515049484746454,94.88326226781184
58,circle,5.25,8.75,3.7750000000000004,15.509641873278238,94.88614140557239
59,circle,5.25,8.75,5.0,15.545046423834302,94.79914338791903
60,circle,5.25,12.5,0.1,12.560453014998469,96.14283658895643
61,circle,5.25,12.5,1.3250000000000002,12.600755024997449,96.12968156338296
62,circle,5.25,12.5,2.5500000000000003,12.60952963983267,96.07130863409327
63,circle,5.25,12.5,3.7750000000000004,12.53453729211305,96.16198089018044
64,circle,5.25,12.5,5.0,12.532088562391593,96.13148247664562
65,circle,5.25,16.25,0.1,9.769819406183043,96.80672716689776
66,circle,5.25,16.25,1.3250000000000002,9.765023977145189,96.73014451008261
67,circle,5.25,16.25,2.5500000000000003,9.754106723803693,96.78449138011428
68,circle,5.25,16.25,3.7750000000000004,9.744209774512806,96.79943419729041
69,circle,5.25,16.25,5.0,9.772778287929803,96.77914000411813
70,circle,5.25,20.0,0.1,7.536475869809203,97.18424111475412
71,circle,5.25,20.0,1.3250000000000002,7.525762677277829,97.19854453332545
72,circle,5.25,20.0,2.5500000000000003,7.567901234567901,97.16514001178544
73,circle,5.25,20.0,3.7750000000000004,7.587389041934497,97.17584353526027
74,circle,5.25,20.0,5.0,7.548413427201306,97.21491726677384
75,circle,7.625,5.0,0.1,11.460463218038976,95.92536057923613
76,circle,7.625,5.0,1.3250000000000002,11.377308437914499,95.92351071872122
77,circle,7.625,5.0,2.5500000000000003,11.437098255280073,95.92820939459682
78,circle,7.625,5.0,3.7750000000000004,11.40506070809101,95.9179681179365
79,circle,7.625,5.0,5.0,11.433935312723191,95.89414784140132
80,circle,7.625,8.75,0.1,10.27231915110703,96.45683143445035
81,circle,7.625,8.75,1.3250000000000002,10.244260789715335,96.46604299344007
82,circle,7.625,8.75,2.5500000000000003,10.209366391184574,96.4321496409459
83,circle,7.625,8.75,3.7750000000000004,10.259769411284562,96.39470869368162
