,grid_type,light_height,light_width,box_offset,mean,std
0,circle,0.5,5.0,0.1,46.28221610039792,41.399018505090304
1,circle,0.5,5.0,1.3250000000000002,46.229772472196714,41.43667574409287
2,circle,0.5,5.0,2.5500000000000003,46.25711662075298,41.45412190891185
3,circle,0.5,5.0,3.7750000000000004,46.294459749005206,41.4152715285206
4,circle,0.5,5.0,5.0,46.30078563411897,41.37194197979303
5,circle,0.5,8.75,0.1,45.921232527293135,76.28668919731625
6,circle,0.5,8.75,1.3250000000000002,45.69931639628609,76.33176868681298
7,circle,0.5,8.75,2.5500000000000003,43.862565044383224,75.96873555637168
8,circle,0.5,8.75,3.7750000000000004,43.27793082338537,75.87556296950598
9,circle,0.5,8.75,5.0,42.97357412508928,75.83588372344576
10,circle,0.5,12.5,0.1,28.302009998979695,82.64617640435578
11,circle,0.5,12.5,1.3250000000000002,27.696255484134273,82.57913148584733
12,circle,0.5,12.5,2.5500000000000003,27.36853382307928,82.78396433332514
13,circle,0.5,12.5,3.7750000000000004,27.223752678298133,82.57088251370612
14,circle,0.5,12.5,5.0,27.121620242832364,82.63877291889446
15,circle,0.5,16.25,0.1,16.78818487909397,84.67836823508344
16,circle,0.5,16.25,1.3250000000000002,16.706662585450463,84.57092064842833
17,circle,0.5,16.25,2.5500000000000003,16.594531170288747,84.56146380501157
18,circle,0.5,16.25,3.7750000000000004,16.519538822569125,84.57077895728204
19,circle,0.5,16.25,5.0,16.48270584634221,84.47538391504177
20,circle,0.5,20.0,0.1,11.017039077645139,85.70326226106374
21,circle,0.5,20.0,1.3250000000000002,10.964799510254055,85.71464720269324
22,circle,0.5,20.0,2.5500000000000003,10.918579736761554,85.78222985406451
23,circle,0.5,20.0,3.7750000000000004,10.919702071217223,85.77638678487118
24,circle,0.5,20.0,5.0,10.896949290888685,85.55435507290032
25,circle,2.875,5.0,0.1,41.670645852464034,83.66449342365593
26,circle,2.875,5.0,1.3250000000000002,41.63534333231303,83.74112999942773
27,circle,2.875,5.0,2.5500000000000003,41.70584634220998,83.76345979799538
28,circle,2.875,5.0,3.7750000000000004,41.670849913274154,83.66890577799724
29,circle,2.875,5.0,5.0,41.7060504030201,83.63157530087219
30,circle,2.875,8.75,0.1,40.9628609325579,92.16630046392297
31,circle,2.875,8.75,1.3250000000000002,40.49586776859504,92.22060830961676
32,circle,2.875,8.75,2.5500000000000003,34.69421487603306,91.80004154649131
33,circle,2.875,8.75,3.7750000000000004,31.244056728905214,91.55514345222582
34,circle,2.875,8.75,5.0,29.315682073257832,91.37320939528067
35,circle,2.875,12.5,0.1,26.83991429445975,94.74559255238526
36,circle,2.875,12.5,1.3250000000000002,24.02305887154372,94.92980818047985
37,circle,2.875,12.5,2.5500000000000003,22.260687684930108,94.93268511624653
38,circle,2.875,12.5,3.7750000000000004,21.184164881134578,95.08251349341455
39,circle,2.875,12.5,5.0,20.588409345985102,95.0808221506672
40,circle,2.875,16.25,0.1,16.333741454953575,95.99348388489977
41,circle,2.875,16.25,1.3250000000000002,15.356188144066932,96.06255490851095
42,circle,2.875,16.25,2.5500000000000003,14.748495051525355,96.19004359478848
43,circle,2.875,16.25,3.7750000000000004,14.321905927966535,96.19009251542202
44,circle,2.875,16.25,5.0,14.112743597592083,96.24456427937369
45,circle,2.875,20.0,0.1,10.898683807774717,96.67548775037596
46,circle,2.875,20.0,1.3250000000000002,10.557902254871951,96.74400413426524
47,circle,2.875,20.0,2.5500000000000003,10.325374961738598,96.79679499269145
48,circle,2.875,20.0,3.7750000000000004,10.087950209162331,96.84550472876347
49,circle,2.875,20.0,5.0,9.931435567799204,96.82301273098314
50,circle,5.25,5.0,0.1,37.625650443832264,92.72109191178512
51,circle,5.25,5.0,1.3250000000000002,37.5331088664422,92.69119843157725
52,circle,5.25,5.0,2.5500000000000003,37.58320579532701,92.61319550189762
53,circle,5.25,5.0,3.7750000000000004,37.53841444750535,92.67616312519388
54,circle,5.25,5.0,5.0,37.529843893480255,92.68812778947454
55,circle,5.25,8.75,0.1,37.08917457402306,93.7401434813122
56,circle,5.25,8.75,1.3250000000000002,36.60167329864299,93.83662111190438
57,circle,5.25,8.75,2.5500000000000003,30.506887052341597,94.0974845777617
58,circle,5.25,8.75,3.7750000000000004,26.28272625242322,94.32302055146674
59,circle,5.25,8.75,5.0,23.4583205795327,94.42489002482861
60,circle,5.25,12.5,0.1,24.634220997857362,95.00893889256022
61,circle,5.25,12.5,1.3250000000000002,21.39475563717988,95.31095824454455
62,circle,5.25,12.5,2.5500000000000003,19.167737985919803,95.54878570291037
63,circle,5.25,12.5,3.7750000000000004,17.59391898785838,95.71755531578188
64,circle,5.25,12.5,5.0,16.456075910621365,95.73054139547055
65,circle,5.25,16.25,0.1,15.373533312927252,96.10688286346151
66,circle,5.25,16.25,1.3250000000000002,14.052851749821446,96.26245396529298
67,circle,5.25,16.25,2.5500000000000003,13.083766962554842,96.34080919999238
68,circle,5.25,16.25,3.7750000000000004,12.377308437914499,96.4985068353832
69,circle,5.25,16.25,5.0,11.854912764003673,96.5174259222581
70,circle,5.25,20.0,0.1,10.497296194265891,96.7283612867044
71,circle,5.25,20.0,1.3250000000000002,9.867972655851444,96.84801291061673
72,circle,5.25,20.0,2.5500000000000003,9.427201305989184,96.9261992569058
73,circle,5.25,20.0,3.7750000000000004,9.029384756657484,96.95891585864031
74,circle,5.25,20.0,5.0,8.768493010917254,97.03371131743924
75,circle,7.625,5.0,0.1,34.206815631058056,94.0256663589629
76,circle,7.625,5.0,1.3250000000000002,34.15110702989491,94.10795681538475
77,circle,7.625,5.0,2.5500000000000003,34.18559330680543,94.0188422429282
78,circle,7.625,5.0,3.7750000000000004,34.16947250280584,94.05932204688023
79,circle,7.625,5.0,5.0,34.13110907050301,94.07201910095216
80,circle,7.625,8.75,0.1,33.848178757269665,94.24389448161489
81,circle,7.625,8.75,1.3250000000000002,33.45066829915315,94.17794042206089
82,circle,7.625,8.75,2.5500000000000003,27.696459544944393,94.70038621699887
83,circle,7.625,8.75,3.7750000000000004,23.615957555351496,95.07975594353488
84,circle,7.625,8.75,5.0,20.53453729211305,95.34466635717155
85,circle,7.625,12.5,0.1,22.75084175084175,95.1349026649052
86,circle,7.625,12.5,1.3250000000000002,19.578512396694215,95.62061117319416
87,circle,7.625,12.5,2.5500000000000003,17.256810529537802,95.8447802429744
88,circle,7.625,12.5,3.7750000000000004,15.45240281603918,96.01315746895126
89,circle,7.625,12.5,5.0,14.105295378022651,96.19049493223483
90,circle,7.625,16.25,0.1,14.43097643097643,96.20977102463439
91,circle,7.625,16.25,1.3250000000000002,13.000204060810121,96.39186037929721
92,circle,7.625,16.25,2.5500000000000003,11.807570656055505,96.57772354256122
93,circle,7.625,16.25,3.7750000000000004,10.967554331190694,96.67985955938833
94,circle,7.625,16.25,5.0,10.274971941638608,96.76171713206043
95,circle,7.625,20.0,0.1,10.01010101010101,96.8369158215038
96,circle,7.625,20.0,1.3250000000000002,9.206917661463116,96.97589234353313
97,circle,7.625,20.0,2.5500000000000003,8.649729619426589,97.01932007943704
98,circle,7.625,20.0,3.7750000000000004,8.189266401387613,97.13882918700702
99,circle,7.625,20.0,5.0,7.754412815018876,97.21618889111619
100,circle,10.0,5.0,0.1,31.161718192021223,94.45046536855438
101,circle,10.0,5.0,1.3250000000000002,31.209264360779514,94.35576923179042
102,circle,10.0,5.0,2.5500000000000003,31.19589837771656,94.42466445826835
