,iteration,light_height,light_width,inter_0,inter_1,inter_2,inter_3,metric
0,1,8.0,10.0,23.494745434139375,5.38735249642233,17.0,30.0,0.22930031361796158
1,1,8.4,10.0,22.209366391184574,5.230747200000021,16.0,29.0,0.23551987516745318
2,1,8.0,10.5,22.82736455463728,5.271681277362808,16.0,30.0,0.23093692067452828
3,1,7.6,10.5,24.177736965615754,5.4022784081697734,17.0,31.0,0.22344020103505122
4,1,7.199999999999999,10.75,25.18712376288134,5.56426145248116,18.0,32.0,0.22091690598992889
5,2,7.199999999999999,10.25,25.968982756861546,5.706387469230736,19.0,33.0,0.2197385828570043
6,2,6.799999999999997,10.125,27.741556983981226,6.072298181716309,20.0,36.0,0.21888815343791368
7,3,5.9999999999999964,10.875,29.752678298132842,6.209307831310383,22.0,38.0,0.2086974412552316
8,3,4.999999999999993,11.3125,33.22467095194368,6.516656897291011,25.0,42.0,0.19613909515362046
9,4,4.599999999999991,10.6875,37.36057545148454,7.196965985144913,28.0,47.0,0.1926353086956785
10,4,3.2999999999999865,10.65625,46.009080706050405,8.135861654079244,36.0,57.0,0.17683164995316547
11,5,1.4999999999999822,11.84375,49.62697683909805,17.811418547745298,32.0,76.0,0.35890597578599176
12,5,5.474999999999993,10.5546875,33.01897765534129,6.789760968577464,24.0,42.0,0.20563207739047376
13,6,2.824999999999986,11.4140625,45.256096316702376,7.64558524922659,36.0,55.0,0.168940449386592
14,6,1.4999999999999822,11.84375,49.61473319049077,17.765943123877157,32.0,76.0,0.3580779736467918
15,7,1.1249999999999796,10.7578125,61.52800734618916,30.412228438682668,35.0,107.0,0.49428268117911506
16,7,4.031249999999989,11.173828125,38.91388633812876,7.153550187466474,30.0,48.0,0.18383026884819914
17,8,2.093749999999983,10.896484375,53.81063156820733,9.85800902948278,42.0,67.0,0.18319816627662738
18,8,2.578124999999985,10.9658203125,49.58606264666871,8.35810616071425,39.0,60.0,0.16855756869164856
19,9,2.1031249999999844,11.7236328125,47.701357004387305,9.563373016562572,36.0,60.0,0.20048429682373578
20,9,3.000781249999986,10.923095703125,46.821854912764,8.01156545058784,37.0,57.0,0.17110739131361977
21,10,2.402343749999985,11.456787109375,47.65513723089481,8.26961476110924,37.0,58.0,0.17353039444712903
22,10,2.8511718749999857,11.0565185546875,47.05887154372003,7.954024553213968,37.0,57.0,0.16902284930109904
23,11,2.551953124999985,11.3233642578125,47.55718804203653,8.17130011110897,37.0,58.0,0.17182050595351078
24,11,2.776367187499986,11.12322998046875,47.3425160697888,7.936470878062796,37.0,58.0,0.167639397668756
25,12,2.5294921874999847,10.67498779296875,51.852464034282214,8.64125127802635,41.0,63.0,0.1666507356779264
26,12,2.3817382812499837,10.305450439453125,55.70982552800734,9.356844015248221,44.0,68.0,0.16795679983855266
