,iteration,light_height,light_width,inter_0,inter_1,inter_2,inter_3,metric
0,1,8.0,10.0,23.461585552494643,5.412348819029926,17.0,30.0,0.23068981450209095
1,1,8.4,10.0,22.188144066931947,5.111381219562328,16.0,29.0,0.2303654241717343
2,1,8.0,10.5,22.85001530456076,5.288875023109436,16.0,30.0,0.23146045867434498
3,1,8.399999999999999,9.5,22.70431588613407,5.332157693332627,16.0,30.0,0.23485216291361904
4,1,8.1,10.25,22.860830527497193,5.241929608625446,16.0,30.0,0.2292974265445173
5,2,8.5,10.25,21.571982450770328,5.099774491624116,15.0,28.0,0.23640731691036604
6,2,8.125,10.0625,22.958881746760536,5.316955544099198,16.0,30.0,0.2315859980789096
7,2,8.25,10.125,22.49811243750638,5.231623281836543,16.0,29.0,0.23253609814461396
8,2,8.05,10.125,23.14865830017345,5.254490743918524,17.0,30.0,0.22698899762493588
9,3,7.899999999999999,10.25,23.397408427711458,5.370329045328874,17.0,30.0,0.22952666154976187
10,3,7.987499999999999,10.21875,23.192531374349556,5.370847682227778,16.0,30.0,0.2315766052242068
11,3,8.075,10.1875,23.035506580961126,5.254094984067616,16.0,30.0,0.22808680007107515
12,3,8.15,10.125,22.874298540965206,5.263965162495186,16.0,30.0,0.2301257524058295
13,4,7.975,10.1875,23.277624732170185,5.382213857506443,17.0,30.0,0.2312183446306747
14,4,8.10625,10.140625,22.954290378532804,5.30511283870215,16.0,30.0,0.23111639485329377
15,4,8.0625,10.15625,23.02142638506275,5.304343276221323,16.0,30.0,0.23040897586011438
16,4,8.100000000000001,10.125,22.964697479848994,5.308191671304549,16.0,30.0,0.23114572599801794
17,5,8.0125,10.15625,23.271911029486787,5.317453758009207,17.0,30.0,0.2284923550658002
18,6,8.0,10.125,23.269972451790633,5.339142582401116,17.0,30.0,0.2294434423359305
19,6,8.015625,10.1328125,23.31404958677686,5.387611725360752,17.0,30.0,0.23108862770955368
20,6,8.03125,10.140625,23.198449137843077,5.339270268681846,17.0,30.0,0.23015634523482095
21,6,8.05625,10.140625,23.051117232935415,5.260749100701391,16.0,30.0,0.228221003239914
22,7,8.075000000000003,10.125,23.16845219875523,5.390068650691089,16.0,30.0,0.23264690297182136
23,7,8.0421875,10.13671875,23.139169472502807,5.293933253920012,16.0,30.0,0.22878665806095602
24,8,8.064062500000002,10.12890625,22.98377716559535,5.250508748209254,16.0,30.0,0.22844411997122882
25,8,8.058593750000002,10.130859375,23.0633608815427,5.350252975953522,16.0,30.0,0.2319806295116016
26,8,8.053125000000001,10.1328125,23.08182838485869,5.299829468212905,16.0,30.0,0.22961047018656064
